Channels,Time Slot,Week Days,All Individuals,Dettol TG,18-45_Male_Female,Males ,Females,RPM,CPRP,Timeband
EXPRESS ENT,11:00 - 11:30,Saturday,0.41,0.67,0.48,0.32,0.51,"4,675","3,489",Morning Time
EXPRESS ENT,11:30 - 12:00,Sunday,0.48,0.7,0.52,0.33,0.63,"4,675","3,339",Morning Time
EXPRESS ENT,11:30 - 12:00,Monday,0.42,0.85,0.5,0.25,0.61,"4,675","2,750",Morning Time
EXPRESS ENT,11:30 - 12:00,Tuesday,0.49,0.83,0.53,0.32,0.66,"4,675","2,816",Morning Time
EXPRESS ENT,11:30 - 12:00,Wednesday,0.47,0.83,0.55,0.29,0.65,"4,675","2,816",Morning Time
EXPRESS ENT,11:30 - 12:00,Thursday,0.49,1.01,0.52,0.32,0.67,"4,675","2,314",Morning Time
EXPRESS ENT,11:30 - 12:00,Friday,0.46,0.83,0.51,0.32,0.59,"4,675","2,816",Morning Time
EXPRESS ENT,11:30 - 12:00,Saturday,0.5,0.9,0.57,0.38,0.62,"4,675","2,597",Morning Time
EXPRESS ENT,12:00 - 12:30,Sunday,0.18,0.35,0.21,0.13,0.23,"4,675","6,679",Afternoon
EXPRESS ENT,12:00 - 12:30,Monday,0.21,0.35,0.24,0.15,0.28,"4,675","6,679",Afternoon
EXPRESS ENT,12:00 - 12:30,Tuesday,0.13,0.3,0.15,0.08,0.17,"4,675","7,792",Afternoon
EXPRESS ENT,12:00 - 12:30,Wednesday,0.18,0.49,0.2,0.12,0.25,"4,675","4,770",Afternoon
EXPRESS ENT,12:00 - 12:30,Thursday,0.21,0.39,0.24,0.12,0.3,"4,675","5,994",Afternoon
EXPRESS ENT,12:00 - 12:30,Friday,0.18,0.37,0.21,0.1,0.26,"4,675","6,318",Afternoon
EXPRESS ENT,12:00 - 12:30,Saturday,0.17,0.46,0.19,0.09,0.25,"4,675","5,082",Afternoon
EXPRESS ENT,12:30 - 13:00,Sunday,0.14,0.34,0.17,0.08,0.19,"4,675","6,875",Afternoon
EXPRESS ENT,12:30 - 13:00,Monday,0.2,0.28,0.23,0.16,0.25,"4,675","8,348",Afternoon
EXPRESS ENT,12:30 - 13:00,Tuesday,0.15,0.27,0.19,0.08,0.22,"4,675","8,657",Afternoon
EXPRESS ENT,12:30 - 13:00,Wednesday,0.2,0.49,0.24,0.12,0.27,"4,675","4,770",Afternoon
EXPRESS ENT,12:30 - 13:00,Thursday,0.18,0.28,0.21,0.12,0.24,"4,675","8,348",Afternoon
EXPRESS ENT,12:30 - 13:00,Friday,0.12,0.29,0.14,0.1,0.14,"4,675","8,060",Afternoon
